set_key,cardinality,members,lambda,seconds,incumbent_scale,edited_baseline_vh,modelB_gc,modelB_unserved,modelB_served,modelB_gc_per_trip,modelB_veh_hours,base_gc_this_network,base_unserved_this_network,gc_vs_base_pct,unserved_vs_base_pct,served_vs_base_pct,gc_per_trip_vs_base_pct,vh_vs_budget_pct,claim_gap_unserved_pct,gc_vs_noedit_pct,unserved_vs_noedit_pct,served_vs_noedit_pct,gc_per_trip_vs_noedit_pct,seed,sum_of_singles_unserved_pct,sum_of_singles_gc_pct,interaction_unserved_pts,interaction_gc_pts,interaction_class
<none>,0,[],2.0,37.24181866645813,1.0,2517.1833333333334,1785263.3794816681,9812.327818373697,21136.672181626305,84.46284089288012,2507.763673330894,1770600.9012074382,10423.684219641913,0.8281074670317246,-5.865070241826819,2.978548090613331,-2.0882413507028352,-0.37421430047231974,0.0,0.0,0.0,0.0,0.0,,,,,,
splice|011|034|WESHIGW,1,['splice|011|034|WESHIGW'],2.0,90.18874645233154,1.0,2516.233333333333,1787084.1295641689,9754.969670750388,21194.030329249614,84.32016477290007,2514.3822760235607,1769598.2317266962,10455.657047166675,0.988128125580845,-6.701514531850128,3.4190974992658107,-2.350600065623487,-0.11127744541608031,0.0,0.1019877572926653,-0.5845518890625012,0.2713679198429686,-0.16892176307566897,,-0.5845518890625012,0.1019877572926653,0.0,0.0,
splice|011|033|WESHIGW,1,['splice|011|033|WESHIGW'],2.0,83.67547750473022,1.000090852748455,2517.412026357532,1783946.343386127,9789.445622069155,21159.55437793085,84.30925866977428,2513.278362997813,1767610.9832195432,10456.83145916881,0.9241490532509777,-6.382295054726872,3.256784833532289,-2.2590629604068324,-0.15513253579148012,0.0,-0.07377264949688378,-0.23319844921705357,0.1082582731468662,-0.18183407221717962,,-0.23319844921705357,-0.07377264949688378,0.0,0.0,
splice|008|035|BOASHAN,1,['splice|008|035|BOASHAN'],2.0,89.41451573371887,1.0,2516.8114415760074,1785859.1098319974,9837.526788972158,21111.473211027842,84.59187532678352,2513.6204685926245,1772007.040795631,10444.036492290797,0.7817163655369441,-5.807234623953406,2.9578677528034225,-2.113632920692665,-0.14154172616385186,0.0,0.033369325623100465,0.2568093021849016,-0.11921919582198459,0.15277065338952234,,0.2568093021849016,0.033369325623100465,0.0,0.0,
splice|006|021|NMURBEAN,1,['splice|006|021|NMURBEAN'],2.0,91.21661424636841,1.000204836956281,2517.6989455057346,1784174.2894079576,9814.890189667009,21134.109810332997,84.4215491175138,2514.556743369353,1773266.1995563766,10392.78979024195,0.6151411364131221,-5.560582021177273,2.8113139274116516,-2.13611975871556,-0.10434639103151788,0.0,-0.06100444820790196,0.026113796244287002,-0.012122870011377351,-0.048887504765182666,,0.026113796244287002,-0.06100444820790196,0.0,0.0,
splice|002|034|WESHIGW,1,['splice|002|034|WESHIGW'],2.0,97.39484524726868,1.0,2516.366666666667,1785033.001634596,9817.455032991307,21131.544967008696,84.47243230068845,2514.1746912472513,1769479.3281653763,10490.965642673134,0.8789971841799193,-6.419910546101216,3.292156997676643,-2.3362468977688122,-0.11952415409083317,0.0,-0.012904417898218501,0.052252785603124074,-0.024257435482510914,0.011355772203414105,,0.052252785603124074,-0.012904417898218501,0.0,0.0,
splice|007|101|EMO4THW,1,['splice|007|101|EMO4THW'],2.0,92.89069032669067,1.0,2516.9,1782695.9637234793,9827.299532003246,21121.700467996758,84.40115730381605,2513.7307341194182,1768145.648349027,10495.347085963467,0.82291384694686,-6.365178287945062,3.2661527834070503,-2.365962971027602,-0.13716121381366353,0.0,-0.14381159596373871,0.15258065065371085,-0.07083287993917553,-0.07303044559240357,,0.15258065065371085,-0.14381159596373871,0.0,0.0,
splice|001|021|PICBETS+splice|033|034|WESHIGW,2,"['splice|001|021|PICBETS', 'splice|033|034|WESHIGW']",2.0,82.36617422103882,1.0000304409224634,2517.2599587160094,1782677.1555203376,9881.730749878348,21067.26925012166,84.61833066048857,2515.443869149029,1776873.4248894132,10410.262375031056,0.3266260021467682,-5.07702501735583,2.5733403620199935,-2.190349219342691,-0.06910359532695809,0.0,-0.144865121362725,0.7073034328785255,-0.32835316225879874,0.1840925144888761,,-0.11301535494729897,0.009237186657928831,0.8203187878258245,-0.15410230802065383,substituting
splice|005|021|NMURBEAN+splice|033|034|WESHIGW,2,"['splice|005|021|NMURBEAN', 'splice|033|034|WESHIGW']",2.0,89.70044159889221,1.0,2516.4113683599667,1784621.9815658964,9878.2456714759,21070.754328524104,84.69663466912529,2512.492902856298,1771216.6645666938,10511.86325640233,0.7568423032245031,-6.0276429541691545,3.100324633904128,-2.2730115923505156,-0.18633646643545498,0.0,-0.035927355209508516,0.6717860870768089,-0.3118648599730989,0.27680074903195795,,-0.08963893645981269,0.05010929158348887,0.7614250235366216,-0.08603664679299738,substituting
splice|002|011|HIGFITN+splice|033|034|WESHIGW,2,"['splice|002|011|HIGFITN', 'splice|033|034|WESHIGW']",2.0,95.05960273742676,1.0,2516.461829998961,1782422.4510175022,9880.461285774038,21068.538714225964,84.60114273677506,2514.4467686448675,1776018.872353478,10479.679091269953,0.3605580303062128,-5.717902239917738,2.9273946515751437,-2.493832307674826,-0.10871535069486571,0.0,-0.15913217605968422,0.6943659920611411,-0.32234718320307554,0.16374282753564007,,-0.16323016494081966,-0.003736841260892909,0.8575961570019608,-0.1553953347987913,substituting
splice|005|006|NMURBEAN+splice|011|034|WESHIGW,2,"['splice|005|006|NMURBEAN', 'splice|011|034|WESHIGW']",2.0,84.9233283996582,1.0,2515.6546548621627,1789015.6205081292,9805.843754724363,21143.15624527564,84.6144066550082,2515.021057945306,1770100.2352254735,10457.716448251318,1.0686053199832735,-6.2334133532178315,3.1812194286449547,-2.047479299391952,-0.08590059211793788,0.0,0.21017856914482547,-0.0660807890783266,0.030676842568300167,0.17944667800162684,,-0.8569657005918829,0.3269867809682969,0.7908849115135563,-0.11680821182347145,substituting
splice|008|035|BOASHAN+splice|011|034|WESHIGW,2,"['splice|008|035|BOASHAN', 'splice|011|034|WESHIGW']",2.0,86.87980937957764,1.0,2515.8614415760076,1787169.690129033,9841.956453121567,21107.043546878434,84.67172042165713,2514.2589279133563,1771028.3555483632,10470.08665494271,0.9114102848834404,-5.999283697662761,3.067204744888219,-2.0916395912170094,-0.11617768881794222,0.0,0.10678035909292838,0.301953168466218,-0.14017644070586366,0.24730346098815748,,-0.3277425868775996,0.13535708291576576,0.6296957553438176,-0.02857672382283738,substituting
splice|006|021|NMURBEAN+splice|011|034|WESHIGW,2,"['splice|006|021|NMURBEAN', 'splice|011|034|WESHIGW']",2.0,82.51136612892151,1.0,2516.748945505735,1784280.6267857237,9829.194668787797,21119.805331212203,84.48376293264405,2513.756950438249,1772186.2539631713,10425.77697680791,0.682454950516953,-5.722185591991924,2.9068646154941202,-2.1615755890421418,-0.13611971959733848,0.0,-0.05504805101809174,0.17189448545040786,-0.07979898760394066,0.024770703356358226,,-0.5584380928182142,0.04098330908476333,0.7303325782686221,-0.09603136010285507,substituting
splice|007|101|EMO4THW+splice|011|034|WESHIGW,2,"['splice|007|101|EMO4THW', 'splice|011|034|WESHIGW']",2.0,84.95575523376465,1.0,2515.95,1783217.2386173804,9836.581534780975,21112.418465219027,84.46295442443433,2514.342281273373,1767100.0541832962,10525.32896971275,0.9120697153468749,-6.543714091157494,3.3722998862956377,-2.379970430816458,-0.11286631459609398,0.0,-0.11461282899791758,0.24717596941536968,-0.11474709073816536,0.00013441597868091293,,-0.43197123840879037,-0.04182383867107342,0.67914720782416,-0.07278899032684416,substituting
splice|001|021|PICBETS+splice|005|006|NMURBEAN,2,"['splice|001|021|PICBETS', 'splice|005|006|NMURBEAN']",2.0,86.18918251991272,1.0,2516.1229469115056,1785728.3388834747,9892.781168075246,21056.218831924758,84.80764533924824,2515.005061381543,1773817.3351784756,10425.519685919991,0.6714898692655291,-5.109946879331362,2.5957513525581843,-1.8755761889984623,-0.08653608670234902,0.0,0.02604430288273285,0.8199211358481007,-0.38063394753069524,0.4082321204485817,,0.09930083523521649,0.11649316736042081,0.7206203006128842,-0.09044886447768796,substituting
splice|002|011|HIGFITN+splice|005|006|NMURBEAN,2,"['splice|002|011|HIGFITN', 'splice|005|006|NMURBEAN']",2.0,92.91264224052429,1.0,2515.324818194457,1784797.8093963442,9903.066980646872,21045.93301935313,84.80487929687433,2515.8168472369453,1771895.4670748012,10516.301285827198,0.7281661114491911,-5.831273643774171,3.0012398937540485,-2.2068411842901425,-0.054286315910834215,0.0,-0.0260785097972005,0.9247465428464885,-0.4292972966295605,0.40495725739084776,,0.04908602524169581,0.10351913944159907,0.8756605176047927,-0.12959764923879957,substituting
splice|002|033|WESHIGW+splice|005|006|NMURBEAN,2,"['splice|002|033|WESHIGW', 'splice|005|006|NMURBEAN']",2.0,88.25359153747559,1.0,2517.0394408781453,1776101.9254469757,10015.107631376623,20933.892368623376,84.84336759603647,2516.1684240219283,1773070.4209361891,10498.319912176683,0.1709748510262843,-4.6027582017156625,2.3628176604638673,-2.1412489999131368,-0.04031924484662053,0.0,-0.5131710054654404,2.0665821276702356,-0.9593743578007574,0.45052557921767544,,1.210457699033607,-0.3363457952790361,0.8561244286366287,-0.1768252101864043,substituting
splice|001|021|PICBETS+splice|011|033|WESHIGW,2,"['splice|001|021|PICBETS', 'splice|011|033|WESHIGW']",2.0,82.70139670372009,1.0,2516.9303184068744,1777890.19436624,9916.985165664895,21032.014834335107,84.53256658338816,2516.0873061954558,1768868.0349289156,10472.069840052463,0.5100527150227352,-5.300620439567149,2.7107807178700316,-2.1426455796225707,-0.043541808153724215,0.0,-0.4130026527272901,1.0665904077850508,-0.4951458128880648,0.08255191249897376,,0.13851619754754463,-0.1822785058120946,0.9280742102375061,-0.2307241469151955,substituting
